2024-02-08 14:03:23,384 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2024-02-08 14:03:23,387 | MainThread   | [WARNING ] | exit_handler        |: Event loop stopped before Future completed.
2024-02-08 14:03:23,623 | MainThread   | [WARNING ] | __del__             |: Could not delete BaseBLEController instance before exiting
2024-02-08 14:03:23,655 | MainThread   | [WARNING ] | __del__             |: [WinError 10038] An operation was attempted on something that is not a socket
2024-02-08 14:03:33,156 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=12, micro=1, releaselevel='final', serial=0)
2024-02-08 14:03:33,160 | MainThread   | [DEBUG   ] | __init__            |: System Info: Windows-10-10.0.19045-SP0
2024-02-08 14:03:33,166 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c5:6d:2f:4b
2024-02-08 14:03:39,181 | MainThread   | [INFO    ] | _connect            |: Connected to c0:89:c5:6d:2f:4b
2024-02-08 14:08:37,120 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:89:C5:6D:2F:4B
2024-02-08 14:08:41,097 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c5:6d:2f:4b
2024-02-08 14:08:45,718 | MainThread   | [INFO    ] | _connect            |: Connected to c0:89:c5:6d:2f:4b
2024-02-08 14:16:38,159 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2024-02-08 14:16:38,206 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2024-02-08 14:16:38,208 | MainThread   | [WARNING ] | exit_handler        |: Event loop stopped before Future completed.
2024-02-08 14:16:42,297 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=12, micro=1, releaselevel='final', serial=0)
2024-02-08 14:16:42,300 | MainThread   | [DEBUG   ] | __init__            |: System Info: Windows-10-10.0.19045-SP0
2024-02-08 14:16:42,302 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c5:6d:2f:4b
2024-02-08 14:16:47,226 | MainThread   | [INFO    ] | _connect            |: Connected to c0:89:c5:6d:2f:4b
2024-02-08 14:16:48,280 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
